Наименование,Цена,Ссылка
"Диван ""Рим""",14000 руб.,http://mebel-saa.ru/myagkaya-mebel/item/858-divan-rim
"Диван ""Рига""",28000 руб.,http://mebel-saa.ru/myagkaya-mebel/item/856-divan-riga
"Диван ""Баян"" 1-35",13000 руб.,http://mebel-saa.ru/myagkaya-mebel/item/855-divan-bayan-1-35
"Диван ""Осло""",22000 руб.,http://mebel-saa.ru/myagkaya-mebel/item/793-divan-oslo
"Диван ""Вена""",21000 руб.,http://mebel-saa.ru/myagkaya-mebel/item/792-divan-vena
"Диван ""Бостон""",21000 руб.,http://mebel-saa.ru/myagkaya-mebel/item/791-divan-boston
"Диван ""Бонн""",20000 руб.,http://mebel-saa.ru/myagkaya-mebel/item/790-divan-bonn
"Диван ""Кёльн""",21000 руб.,http://mebel-saa.ru/myagkaya-mebel/item/789-divan-kjoln
"Диван ""Баян"" 1-10",12000 руб.,http://mebel-saa.ru/myagkaya-mebel/item/788-divan-bayan
"Диван ""Милан""",16000 руб.,http://mebel-saa.ru/myagkaya-mebel/item/787-divan-milan
"Угловой диван ""Томас""",27000 руб.,http://mebel-saa.ru/myagkaya-mebel/item/786-uglovoj-divan-tomas
"Угловой диван ""Константо"" стандарт",22500 руб.,http://mebel-saa.ru/myagkaya-mebel/item/785-uglovoj-divan-konstanta
"Угловой диван ""Монако""",28000 руб.,http://mebel-saa.ru/myagkaya-mebel/item/784-uglovoj-divan-monako
"Угловой диван ""Лофт""",23000 руб.,http://mebel-saa.ru/myagkaya-mebel/item/783-uglovoj-divan-loft
"Угловой диван ""Хилтон""",25000 руб.,http://mebel-saa.ru/myagkaya-mebel/item/782-uglovoj-divan-khilton
