Наименование,Цена,Ссылка
"Комод ""БАСЯ КМ-554""",5000 руб.,http://mebel-saa.ru/shkafy-i-komody/item/863-komod-basya-km-554
"Комод ""БАСЯ КМ-551""",4000 руб.,http://mebel-saa.ru/shkafy-i-komody/item/862-komod-basya-km-551
"Комод ""Бася КМ-553""",4100 руб.,http://mebel-saa.ru/shkafy-i-komody/item/861-komod-basya-553
"Комод ""КП-1""",5500 руб.,http://mebel-saa.ru/shkafy-i-komody/item/850-komod-kp-1
"Комод ""К-18""",6500 руб.,http://mebel-saa.ru/shkafy-i-komody/item/849-komod-k-18
"Комод ""К-16""",6600 руб.,http://mebel-saa.ru/shkafy-i-komody/item/848-komod-k-16
"Комод ""К-15""",6600 руб.,http://mebel-saa.ru/shkafy-i-komody/item/847-komod-k-15
"Комод ""К-13""",5800 руб.,http://mebel-saa.ru/shkafy-i-komody/item/846-komod-k-13
"Комод ""К-11""",6500 руб.,http://mebel-saa.ru/shkafy-i-komody/item/845-komod-k-11
"Комод ""К-10""",5500 руб.,http://mebel-saa.ru/shkafy-i-komody/item/844-komod-k-10
"Комод ""К-9""",6500 руб.,http://mebel-saa.ru/shkafy-i-komody/item/843-komod-k-9
"Комод ""К-7""",5000 руб.,http://mebel-saa.ru/shkafy-i-komody/item/842-komod-k-7
"Комод ""К-6""",6000 руб.,http://mebel-saa.ru/shkafy-i-komody/item/841-komod-k-6
"Комод ""К-3""",6500 руб.,http://mebel-saa.ru/shkafy-i-komody/item/840-komod-k-3
"Комод ""К-2""",6000 руб.,http://mebel-saa.ru/shkafy-i-komody/item/839-komod-k-2
